# Per-constraint pass rate across the 100-task subset.
# Denominator = number of tasks where the constraint applied (8 commonsense always; hard depends on user query).
constraint,kind,description,react_injected,codeact_injected,atlas_injected,sca
C1,commonsense,"Reasonable visiting city (closed loop, valid sequence)",0.2100,0.1300,0.3100,0.3100
C2,commonsense,No restaurant repetition across the itinerary,0.0900,0.1700,0.2200,0.7600
C3,commonsense,No attraction repetition across the itinerary,0.1300,0.2000,0.2300,0.6600
C4,commonsense,Transportation mode consistency,0.2500,0.2000,0.2700,0.3300
C5,commonsense,Information localized to current city,0.2600,0.1900,0.2600,0.2700
C6,commonsense,Database existence (no hallucinated entities),0.1600,0.1700,0.2000,0.6900
C7,commonsense,Accommodation minimum-nights rule,0.2100,0.1700,0.2800,0.3300
C8,commonsense,Information completeness per day,0.1600,0.2500,0.2600,0.3000
H1,hard,Budget cap (total cost ≤ user budget),0.1000,0.1200,0.1800,0.2000
H2,hard,Cuisine coverage at destination,0.1600,0.1800,0.2600,0.3400
H3,hard,House-rule compatibility,0.2143,0.2143,0.2500,0.2321
H4,hard,Room-type match,0.1034,0.1724,0.2586,0.2241
H5,hard,Transportation restriction (no flight / no self-driving),0.2333,0.1667,0.2000,0.3667
